engine_displacement_cc,vehicle_weight_kg,drag_coefficient,transmission_type,fuel_type,cylinders,turbocharged,drivetrain,tire_type,aerodynamics_package,fuel_efficiency_mpg
2498.16047538945,1299.858907864273,0.3023411367471812,Automatic,Diesel,4.0,No,AWD,,Sport,18.18044980882504
4802.857225639665,2263.1325579215672,0.2993957598144,CVT,Hybrid,4.0,Yes,FWD,Eco,,26.053943684672095
3927.9757672456203,3156.9537568663022,0.43125091610420735,Manual,Diesel,6.0,No,AWD,Performance,Sport,40.62198843719421
3394.6339367881465,2777.0071933058152,0.2999092399699012,,Petrol,4.0,,AWD,All-Season,Eco,42.29512796334038
1624.0745617697462,2977.7150992259144,0.3043899452257262,Automatic,Petrol,6.0,Yes,FWD,All-Season,Standard,16.713056139675217
1623.9780813448106,2578.715090118937,0.40187965248359275,CVT,Petrol,3.0,No,,All-Season,Standard,23.518362539076556
1232.3344486727979,2669.146724198202,0.339947968490108,DCT,Petrol,6.0,No,AWD,All-Season,Sport,39.98528366673277
4464.704583099741,3092.828259226362,0.40534211139103626,Manual,Petrol,6.0,Yes,AWD,Performance,Standard,44.69703104717026
3404.4600469728352,1474.103623919802,0.26307323151287704,Automatic,Diesel,4.0,No,FWD,Performance,Eco,22.42008482431077
3832.290311184182,2121.447401836479,0.34751423873467685,Manual,Petrol,4.0,Yes,4WD,Performance,Standard,34.94207059734853
1082.33797718321,1397.265492912926,0.2567227200366565,Automatic,Petrol,4.0,No,FWD,Performance,Sport,60.22007182584762
4879.639408647978,3466.703621590947,0.2625306406910709,Manual,Petrol,6.0,No,AWD,All-Season,Eco,64.9449643523086
4329.770563201687,3348.960217153856,0.43128749066888217,Automatic,Diesel,4.0,No,AWD,,Eco,64.36072274155705
1849.3564427131046,,0.277849074223519,Automatic,Petrol,4.0,No,AWD,Off-Road,Sport,59.08372551434362
1727.2998688284024,2705.052965792359,0.3564841364550434,Automatic,Diesel,4.0,No,FWD,Performance,Standard,34.73300439749729
1733.6180394137352,3298.170457022298,0.3322191205201413,Automatic,Petrol,4.0,No,AWD,Eco,Sport,49.32871460373921
2216.968971838151,1287.5534318438006,,CVT,Hybrid,3.0,Yes,4WD,Performance,,35.82961138920993
3099.0257265289515,2333.4521224920995,0.4299666691374545,Automatic,,4.0,No,RWD,All-Season,Standard,47.42635134121014
2727.780074568463,3271.818403487713,0.2543646793550979,Manual,Petrol,4.0,No,4WD,All-Season,Eco,30.471623548474163
2164.9165607921677,891.6541421816569,0.38275793723511786,CVT,Petrol,6.0,Yes,FWD,Eco,Sport,
3447.411578889518,2683.034721566468,,Manual,,4.0,No,AWD,Eco,Eco,41.18792482764249
1557.9754426081672,1602.842319905887,0.3620336366923684,Automatic,Petrol,4.0,No,FWD,Eco,Sport,16.224013290659997
2168.5785941408726,3295.869727516632,0.43736449240661834,Automatic,Diesel,8.0,No,RWD,All-Season,Sport,54.53514518730569
2465.4473731747667,3421.857261946493,0.26045157585720474,Automatic,Hybrid,6.0,Yes,FWD,All-Season,,15.594891612257781
2824.2799368681435,3349.5195206062717,0.33375866381483227,Manual,Diesel,8.0,Yes,AWD,Off-Road,Sport,29.657797112665087
4140.703845572054,2080.378384975152,0.30203155819241023,Automatic,Hybrid,4.0,Yes,RWD,Eco,Sport,15.296203272700119
1798.6951286334388,3127.5151576711464,0.39616419299614597,DCT,Petrol,4.0,No,RWD,Off-Road,Standard,33.810070664759905
3056.9377536544466,3080.28337604469,0.44625941809944936,Automatic,Petrol,,Yes,AWD,Performance,Sport,18.158026408206965
3369.6582754481697,1661.57127775679,0.3013060124888496,Automatic,Diesel,6.0,,AWD,Off-Road,Sport,60.67554834156206
1185.8016508799908,3038.071780206829,0.3808349202948149,Automatic,Petrol,4.0,Yes,AWD,Performance,Eco,35.783964758143426
3430.1794076057536,899.92061373183,0.289619526551948,Manual,Diesel,4.0,No,FWD,Performance,Eco,
1682.0964947491661,2409.928671901543,0.363066050914322,Automatic,Petrol,4.0,,4WD,Off-Road,Sport,32.492511804542744
,1421.0238606767982,0.34278649733766725,CVT,Petrol,4.0,No,FWD,Eco,Standard,46.37530771008831
4795.542149013333,1125.5305915986528,0.44440106592630746,Manual,Electric,4.0,Yes,FWD,Performance,Standard,54.22040583091019
4862.528132298237,1007.7736443988647,0.3717054545392933,Manual,,,,4WD,Eco,Eco,47.407337152448896
4233.589392465845,2679.9796948709773,0.31990127441736377,Manual,Electric,4.0,Yes,AWD,All-Season,Sport,52.41035591975638
2218.4550766934826,1717.6624021737784,0.2728191569775867,,Electric,4.0,No,AWD,Performance,Sport,60.298683175463026
1390.6884560255355,2756.870283127656,0.2802493657469869,AMT,Diesel,8.0,No,4WD,All-Season,Standard,58.177326583571435
3736.9321060486277,976.4621201571445,0.295063385990247,Manual,Diesel,6.0,Yes,4WD,Off-Road,Standard,48.70292263768479
2760.6099749584055,1651.2839121426478,0.3001933322680596,Automatic,Diesel,8.0,No,FWD,Eco,Standard,25.73189814522143
1488.1529393791152,2256.6264894134106,0.4201232115682276,,Hybrid,6.0,No,RWD,Off-Road,Eco,46.88514255209644
2980.707640445081,2934.952545065202,0.362244557656505,AMT,Petrol,4.0,Yes,4WD,Performance,Sport,40.304154787025546
1137.5540844608736,1660.6317579165889,0.3546781822748733,Manual,Petrol,4.0,No,FWD,All-Season,Eco,50.860961550521004
4637.281608315128,,0.2729537743738435,Automatic,Diesel,4.0,Yes,RWD,Performance,Sport,56.646582419645746
